full_date,time_sk,product_category_name,search_volume
2017-01-23,34,agro_industria_e_comercio,61.87
2017-01-31,42,agro_industria_e_comercio,60.88
2017-02-05,47,agro_industria_e_comercio,73.1
2017-02-08,50,agro_industria_e_comercio,72.82
2017-02-12,54,agro_industria_e_comercio,68.7
2017-02-13,55,agro_industria_e_comercio,67.04
2017-02-16,58,agro_industria_e_comercio,66.86
2017-02-18,60,agro_industria_e_comercio,63.8
2017-02-21,63,agro_industria_e_comercio,63.46
2017-03-17,87,agro_industria_e_comercio,67.68
2017-03-20,90,agro_industria_e_comercio,65.44
2017-05-06,137,agro_industria_e_comercio,51.19
2017-05-08,139,agro_industria_e_comercio,51.73
2017-05-20,151,agro_industria_e_comercio,51.74
2017-05-28,159,agro_industria_e_comercio,52.6
2017-06-26,188,agro_industria_e_comercio,37.4
2017-07-14,206,agro_industria_e_comercio,21.56
2017-08-30,253,agro_industria_e_comercio,9.22
2017-09-05,259,agro_industria_e_comercio,5.0
2017-09-13,267,agro_industria_e_comercio,5.63
2017-09-23,277,agro_industria_e_comercio,7.29
2017-10-05,289,agro_industria_e_comercio,9.44
2017-10-10,294,agro_industria_e_comercio,12.31
2017-10-17,301,agro_industria_e_comercio,12.45
2017-10-23,307,agro_industria_e_comercio,13.15
2017-10-28,312,agro_industria_e_comercio,15.12
2017-11-06,321,agro_industria_e_comercio,26.07
2017-11-12,327,agro_industria_e_comercio,28.03
2017-11-14,329,agro_industria_e_comercio,25.3
2017-11-18,333,agro_industria_e_comercio,24.61
2017-11-20,335,agro_industria_e_comercio,25.47
2017-11-22,337,agro_industria_e_comercio,27.41
2017-11-23,338,agro_industria_e_comercio,25.51
2017-11-24,339,agro_industria_e_comercio,25.62
2017-11-28,343,agro_industria_e_comercio,26.82
2017-11-29,344,agro_industria_e_comercio,24.13
2017-12-01,346,agro_industria_e_comercio,41.94
2017-12-04,349,agro_industria_e_comercio,41.33
2017-12-06,351,agro_industria_e_comercio,45.39
2017-12-08,353,agro_industria_e_comercio,47.75
2017-12-10,355,agro_industria_e_comercio,45.5
2017-12-20,365,agro_industria_e_comercio,45.21
2017-12-22,367,agro_industria_e_comercio,44.74
2017-12-28,373,agro_industria_e_comercio,44.27
2017-12-29,374,agro_industria_e_comercio,45.66
2018-01-03,379,agro_industria_e_comercio,66.02
2018-01-04,380,agro_industria_e_comercio,68.36
2018-01-06,382,agro_industria_e_comercio,68.11
2018-01-07,383,agro_industria_e_comercio,66.61
2018-01-10,386,agro_industria_e_comercio,66.84
2018-01-12,388,agro_industria_e_comercio,70.55
2018-01-13,389,agro_industria_e_comercio,69.77
2018-01-16,392,agro_industria_e_comercio,70.26
2018-01-17,393,agro_industria_e_comercio,69.95
2018-01-18,394,agro_industria_e_comercio,67.89
2018-01-24,400,agro_industria_e_comercio,67.85
2018-01-25,401,agro_industria_e_comercio,68.63
2018-01-30,406,agro_industria_e_comercio,69.84
2018-01-31,407,agro_industria_e_comercio,71.74
2018-02-01,408,agro_industria_e_comercio,84.41
2018-02-02,409,agro_industria_e_comercio,82.59
2018-02-04,411,agro_industria_e_comercio,83.9
2018-02-05,412,agro_industria_e_comercio,86.32
2018-02-06,413,agro_industria_e_comercio,87.92
2018-02-07,414,agro_industria_e_comercio,91.66
2018-02-08,415,agro_industria_e_comercio,87.54
2018-02-09,416,agro_industria_e_comercio,87.1
2018-02-14,421,agro_industria_e_comercio,87.54
2018-02-16,423,agro_industria_e_comercio,86.12
